title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
"Daisuke Okochi, amamori, Taiga Yamazaki",2019-04-10,"Acoustic,Indie,Pop",Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,2000 + drink (500)
"Loui Lerroy, Haruka, Takumi Ito",2019-03-09,Improvised,OTOOTO,http://www.otooto.jp/,"B1, 3-13-10 Kitazawa, Setagayaku",https://goo.gl/maps/B3yidmfNBgx,Higashi Kitazawa,Higashi-Kitazawa (3 min walk),,"¥2,000 w/ 1 free drink"
Wild Nothing,2019-04-05,Dream-pop,WWW X,http://www-shibuya.jp/wwwx/,"2F Rise Bldg, 13-17 Udagawacho, Shibuya-ku",,Shibuya,Shibuya,5500,
"Miu Mau, Kate Sikora, Transkam, Come To My Party, DJs mariekko, GET! WILD BØY (from JEBIOTTO)",2019-02-23,"Dream-pop,Indie-Pop,New Wave,Post-Rock",Green Apple,http://www.greenapple.gr.jp,"Koenji-Minami 4-9-6 2F, Suginami-ku, Tokyo",http://www.greenapple.gr.jp/access.html,Koenji,Koenji,,¥1500 + 1 drink
Masaki Yoshihisa (guitar),2019-02-23,"Instrumental,Acoustic,Improvised,Jazz",Violon ,http://meikyoku-kissa-violon.com,"Suginami-ku Asagaya-Kita 2-9-5, Tokyo",,Asagaya,J.R. Asagaya station,,"1,000 yen (inc. coffee or orange juice) no alcohol"
Doronco + Mako Hasegawa + Mitsuru Tabata + Chiyo Kamekawa,2019-02-23,"Psychedelic,Psych-Folk",harness,http://livebarharness.web.fc2.com/,"2-18-9-B1, Asagayaminami, Suginami, Tokyo",http://livebarharness.web.fc2.com/map.html,Asagaya,Asagaya,,¥2500 + drink
"0奏: Koba, Yoshitaka Shirakura, Nobuki Nishiyama, Hiroaki Maki",2019-02-23,"Avant garde,Electronic,Experimental,Noise,Techno",Soup,http://ochiaisoup.tumblr.com/,"B1F Mitaka Building 3-9-10 Kami-Ochiai,Shinjuku-ku",,Ochiai,"Ochiai, Higashi-Nakano, Nakai","1,500yen","1,500yen"
YOUNG TOKYO FESTIVAL,2019-03-02,"Festival,Hip-Hop,R n B",Studio Coast,http://www.studio-coast.com,"2-2-10 Shin-Kiba, Koto-ku",,Shin-Kiba,,,
"PORNOSTATE, END ALL, Japanese Folk Metal, Strange",2019-02-16,Metal,Wild Side Tokyo,http://ws-tokyo.com/,"B1, 1-34-13 Shinjuku, Shinjuku-ku, Tokyo",,Shinjuku,"Shinjuku Gyoenmae, Shinjuku",¥2500,¥3000
"WE ARE ASIA Vol. 2: BB Chill, 飛飛, DJ AYAM, DJ DIX",2019-02-08,"Acoustic,All Mix,Electro-Pop,Indie-Pop,World",SUBstore Koenji,http://substore.jimdo.com/,"3-1-12 Koenji Kita, Suginami-ku, Tokyo",https://www.google.co.jp/maps/place/S・U・B+STORE+TOKYO/,Koenji,Koenji,¥1000 (1 drink付き),¥1000 (1 drink付き)
