title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
"SUBTERRANEANSS, 静かの海, (((REBELREBEL ON REBELREBELS))), bahAMaba, ENERGISH GOLF",2011-10-15,Alternative,Goodman,http://www.clubgoodman.com,"A.S Building B1F, 55, Kanda-Sakumagashi, Chiyodaku",http://www.clubgoodman.com/access.html,Akihabara,Akihabara,1800yen,2000yen
LMFAO,2011-10-06,Hip-Hop,DUO Music Exchange,http://www.duomusicexchange.com,"2-14-8 Dogenzaka, Shibuya-ku",,Shibuya,Shibuya,6000yen,
"the natsuyasumi band, Mariliyn-Monroe-Zu, camisama, Satou Toshio",2011-10-06,Alternative,Goodman,http://www.clubgoodman.com,"A.S Building B1F, 55, Kanda-Sakumagashi, Chiyodaku",http://www.clubgoodman.com/access.html,Akihabara,Akihabara,2000,2300
"GAGAKIRISE, KIRIHITO, Shinji Masako solo, POWEREMPIRE, TADZIO",2011-09-16,Other,UFO Club,http://www.ufoclub.jp,"Harmony Hills B1F 1-11-6 Koenji-Minami,Suginami-ku",http://www.ufoclub.jp/access/,Higashi-Koenji,Higashi-Koenji,2300,2000
ju sei,2011-09-17,Unclassifiable,Enban,http://enbanschedule.blogspot.jp,2F 3-59-11 Koenji-Minami,,Koenji,Koenji,,1500円
The Metaphors,2011-09-17,Folk,Bar Isshee,http://www.bloc.jp/barisshee/,"3-36-11-B1, Sendagi, Bunkyo-ku",,Sendagi,Sendagi,,
"MANDOG, Garan",2011-09-17,Noise,Bitches Brew,http://bitchesbrew.web.fc2.com,"3-152-1-2F Nishikanagawa, Kanagawaku, Yokohama",http://bitchesbrew.web.fc2.com/cafebar.html#map,Yokohama,Hakuraku,2000,2000
"N.E.T., Oh my God, you've gone, Deadbambies, Red Bacteria Vacuum, CANNIBAL RABBIT, The HARPY'S, more",2011-08-28,Pop-punk,Heaven's Door,http://www.geocities.jp/xxxheavensdoorxxx,1-33-19 B1 Sangenjyaya,,Sangenjaya,Sangenjaya,,
"mizu no mori no ongakudan, monocism, The 2nd COLONY, MARSEESIDE DERBY",2011-07-26,Indie,High,http://www.koenji-high.com,4-30-1 Koenji-Minami,http://koenji-high.com/access/,Koenji,Koenji,2000,2500
"ama, DIYZ, chimidoro, nakayoshi group, パジャマパーティズ, ヤングフラッテリィズ...",2011-07-16,Other,,,,,,,,1500円
