title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
Arthur Lastman & Step Daw (Into The Deep/FR),2017-05-26,"DJ,House,World",SUBstore Koenji,http://substore.jimdo.com/,"3-1-12 Koenji Kita, Suginami-ku, Tokyo",https://www.google.co.jp/maps/place/S・U・B+STORE+TOKYO/,Koenji,Koenji,¥1000 + (¥500 1 drink),
Takahiro Kawaguchi + Akiko Nakayama + Yuma Takeshita,2017-05-20,"Abstract,Art,Experimental,Improvised,Unclassifiable",Ftarri,http://www.ftarri.com/suidobashi/index.html,"Okano Bld.B1, 1-4-11, Hongo, Bunkyo-ku, Tokyo",,Suidobashi,"Suidobashi, Korakuen, Hongo-sanchome",,1500JPY
"社長TRIO (南博, 水谷浩章, 斉藤社長良一)",2017-05-20,Jazz,Apollo,http://ameblo.jp/430416apollo/,"B1 2-9-22 Kitazawa, Setagaya-ku",http://ameblo.jp/430416apollo/entry-12101940478.html,Shimokitazawa,Shimokitazawa,,2000yen + drink order
"Soundrise - Groovy Week: Takashi Umemiya Band, Sans Danesin, 音の旅Crew",2017-05-17,Reggae,GIGS (Fujisawa),http://livehouse-gigs.com/fujisawa/,"23-2 Minami-Fujisawa, Fujisawa, Kanagawa",,Fujisawa,Fujisawa,"2,000 Yen + 1 drink","2,000 Yen + 1 drink"
RASMUSSEN-CORSANO DUO + MICHIYO YAGI,2017-05-17,WTF?,Koen-Dori Classics,http://koendoriclassics.com,"Tokyo Yamanote Church Bldg B1, 19-5 Udagawa-cho",,Shibuya,Shibuya,,3000 yen (+ 1 drink minimum)
"à qui avec Gabriel, Daniel Kwon, Suisei☆ @ Hikoroku",2017-05-17,"Experimental,Indie-Pop,Pop,Psychedelic,Psych-Folk",,,,,,,,1500円
Bonjour Tokyo,2017-05-17,"
 ,Party",1000 Springs Tokyo,https://www.facebook.com/1000SpringsTokyo/,"4-3-1 Yotsuya, Shinjuku-ku",,Yotsuya,Yotsuya sanchome,,free
"Alexa Dexa (USA), Chiharu Mitamura, Lunakate, Tsuji Shion",2017-04-24,"Rock,Pop,Electro-Pop",DUO Music Exchange,http://www.duomusicexchange.com,"2-14-8 Dogenzaka, Shibuya-ku",,Shibuya,Shibuya,2800,3300
Natsuki Kido Acoustic Guitar Solo,2017-04-30,"Acoustic,Avant garde",lete,http://www.l-ete.jp,"Daizawa 5-33-3, Setagaya-ku",,Shimokitazawa,,"¥2,300 (+ order)","¥2,500 (+ order)"
"Count The Thief, mydearghost, April logical Emotions, Panda in closet",2017-04-09,Indie-Rock,Live Freak,http://www.live-freak.com,"Accord Shinjuku B1F, 2-12-4 Shinjuku",,Shinjuku,,"2,000","2,500"
