,index,title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
13108,3282," THE SUN RA ARKESTRA featuring MARSHALL ALLEN, The Miguel Atwood-Ferguson Ensemble, more",2016-05-04,"Festival,Jazz",Studio Coast,http://www.studio-coast.com,"2-2-10 Shin-Kiba, Koto-ku",,Shin-Kiba,,"8900 (until 3/31), 9500 (from 4/1)",
5906,9304,(CANCELED) I'LL BE YOUR MIRROR curated by Jim O'Rourke & ATP,2012-04-14,Festival,Studio Coast,http://www.studio-coast.com,"2-2-10 Shin-Kiba, Koto-ku",,Shin-Kiba,,"8300 1 day, 15000 2 days",
325,4936,"13complex vol.10 with Saga Yuki, Taro Sukegawa, cokiyu, nakao:::, Wareware...",2008-12-07,Festival,Bullet's,http://www.bul-lets.com,"B1F Kasumi Building, 1-7-11 Nishiazabu, Minato-ku",http://bul-lets.com/new/map/,Nishi-Azabu,"Roppongi, Nogizaka",,
12862,2835,21st century ethnic music Spring Festival,2016-03-27,"Abstract,Festival,Psychedelic,World",Nakano Zero,http://www.nicesnet.jp/facility/zero/index.html,"Nakano-ku, Nakano 2-9-7",,Nakano,中野駅,Only day tickets,1000yen
8846,6779,"8th TOKYO ZINESTER GATHERING×SWIM: Alek et Les Japonaises, Hitomi Moriwaki, HOMMEヨ...",2013-11-24,Festival,Pool,http://mdel.co.jp/pool/,"Silver building B2F, Sakuradai 1-7-7, Nerima-ku",http://mdel.co.jp/pool/map.html,Sakuradai,Sakuradai,¥2000(3 day ticket is ¥5000),¥2000(3 day ticket is ¥5000)
8828,6709,"8th TOKYO ZINESTER GATHERING×SWIM: The Great △, Himo-Awa-Kiri, KairaiBunch EX, more",2013-11-22,Festival,Pool,http://mdel.co.jp/pool/,"Silver building B2F, Sakuradai 1-7-7, Nerima-ku",http://mdel.co.jp/pool/map.html,Sakuradai,Sakuradai,¥2000(3 day ticket is ¥5000),¥2000(3 day ticket is ¥5000)
8844,6766,"8th TOKYO ZINESTER GATHERING×SWIM: pukapukabrians, Utah Kawasaki + ju sei, CARRE,more",2013-11-23,Festival,Pool,http://mdel.co.jp/pool/,"Silver building B2F, Sakuradai 1-7-7, Nerima-ku",http://mdel.co.jp/pool/map.html,Sakuradai,Sakuradai,¥2000(3 day ticket is ¥5000),¥2000(3 day ticket is ¥5000)
4831,609,AIR JAM 2011 @ Yokohama Stadium,2011-09-18,Festival,,,,,,,7800yen,
13844,1835,"AIR SWELL, アルカラ, avengers in sci-fi, ジラフポット, LITE, My Hair is Bad, Ogre You Asshole, more",2016-09-10,Festival,O-East,http://www.shibuya-o.com,"2F 2-14-9 Dogenzaka, Shibuya-ku",,Shibuya,Shibuya,5400,
3882,1413,"ALL TOMORROW'S PARTIES presents ""I'LL BE YOUR MIRROR""",2011-02-27,Festival,Studio Coast,http://www.studio-coast.com,"2-2-10 Shin-Kiba, Koto-ku",,Shin-Kiba,,7800yen,
12801,2981,"ALTERNATIVE TOKYO: Jim O'Rourke, Juana Molina, cero, Phew, more",2016-03-19,Festival,Studio Coast,http://www.studio-coast.com,"2-2-10 Shin-Kiba, Koto-ku",,Shin-Kiba,,6000,
19569,866,ARCADIA JAPAN,2018-10-06,"Electronic,Festival",,,,,,,"34,000 (3 days)",
19586,885,ARCADIA JAPAN,2018-10-07,Festival,,,,,,,"34,000 (3 days)",
19592,906,ARCADIA JAPAN,2018-10-08,"Electronic,Festival",,,,,,,"34,000 (3 days)",
81,4695,ASAGIRI JAM,2008-10-04,Festival,,,,,,,,
85,4698,ASAGIRI JAM,2008-10-05,Festival,,,,,,,,
1465,3062,ASAGIRI JAM,2009-10-10,Festival,,,,,,,"¥13,800",
1480,3098,ASAGIRI JAM,2009-10-11,Festival,,,,,,,,
3205,2801,ASAGIRI JAM,2010-10-09,Festival,,,,,,,,
3212,2805,ASAGIRI JAM,2010-10-10,Festival,,,,,,,,
4942,764,ASAGIRI JAM,2011-10-08,Festival,,,,,,,,
4948,773,ASAGIRI JAM,2011-10-09,Festival,,,,,,,,
6742,8437,ASAGIRI JAM,2012-10-06,Festival,,,,,,,13800,
6744,8443,ASAGIRI JAM,2012-10-07,Festival,,,,,,,13800,
8612,6547,ASAGIRI JAM,2013-10-12,Festival,,,,,,,"¥13,800",
8613,6364,ASAGIRI JAM,2013-10-13,Festival,,,,,,,"¥13,800",
12002,4081,ASAGIRI JAM,2015-10-10,Festival,,,,,,,,
12014,4089,ASAGIRI JAM,2015-10-11,Festival,,,,,,,,
14053,2375,ASAGIRI JAM,2016-10-08,Festival,,,,,,,"15000 (2 days), 8000 (9th)",
14055,2384,ASAGIRI JAM,2016-10-09,Festival,,,,,,,"15000 (2 days), 8000 (9th)",
16952,3541,ASAGIRI JAM 2017,2017-10-07,Festival,,,,,,,15000 (two-day pass),
16961,3550,ASAGIRI JAM 2017,2017-10-08,Festival,,,,,,,15000 (two-day pass),
15475,330,After Hours’17,2017-04-09,Festival,,,,,,,5800 / 2 days 11000,
1574,3289,"Aira Mitsuki, Riddim Saunter, QwQan, Mutsunokami Yoshiyuki, more @ Musashino Art Uni",2009-10-31,Festival,,,,,,,,
14263,2592,"Akira Sakata + HAIR STYLISTICS, Michiyo Yagi, Joe Talia, Yasumune Morishige, Ghost Bastards, Evil P.",2016-11-04,"Avant garde,Experimental,Festival,Improvised",Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,2800 yen,3300 yen
1273,4500,Anti-Equation 4... Improvised Dance Music & Space Rock,2009-09-04,Festival,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,,
19568,2499,Asagiri Jam '18,2018-10-06,Festival,,,,,,,"15000 (two-day pass, including campsite usage)",
19587,888,Asagiri Jam '18,2018-10-07,Festival,,,,,,,"15000 (two-day pass, including campsite usage)",
4790,669,"BAD NOISE! FES 2011: detroit7, Yoko Yazawa, Pop Chocolat, Natccu, Molice, more",2011-09-11,Festival,Club Asia,http://www.clubasia.co.jp,"1-8 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,3300yen,3000yen
14392,948,"BAHAMAS FEST: about tess, HIKES, ハイスイノナサ, NENGU, WOZNIAK, saijanu, more",2016-11-19,"Alternative,Festival",Marz,http://www.marz.jp,"Kabukicho 2-45-1 B1, Shinjuku-ku",,Shinjuku,Shinjuku,3000,3500
7322,9051,"BAYCAMP 201312: ART-SCHOOL, avengers in sci-fi, Czecho No Republic, group_inou, more",2013-02-02,Festival,Club Citta,http://clubcitta.co.jp,"4-1 Ogawa-cho, Kawasaki, Kanagawa",,Kawasaki,Kawasaki,3800,4300
16725,4911,BAYCAMP 2017,2017-09-09,Festival,,,,,,,8500,
13990,2319,BEACH TOMATO NOODLE ,2016-10-01,Festival,,,,,,,3500,
2645,2213,"BIG BEACH FESTIVAL '10 w/ The Chemical Brothers, Sasha, Groove Armada... @ Makuhari",2010-06-05,Festival,,,,,,,,
6204,9632,"BIG BEACH FESTIVAL '12: The Chemical Brothers, more",2012-06-02,Festival,,,,,,,Hayawari pair 17000,
7954,7888,"BIG BEACH FESTIVAL '13: FATBOY SLIM, BASEMENT JAXX, EROL ALKAN, MAYA JANE COLES, more",2013-06-01,Festival,,,,,,,,
20062,1293,"BJ kaneko, room202, howward, キヨステ, かたすみ, rarara, ymss, NEW TAIWAN, neon rocks, slumberland, more",2018-12-08,"Festival,Indie",Sound Studio DOM,http://soundstudiodom.web.fc2.com/,"3F Koenjiminami 4-25-7, Suginami-ku",,Koenji,Koenji,,1000
15573,655,"BLACK HOLE SUCKS TOKYO: ... x FACIAMESS, Mei Zhiyong x Miki Naoe, Kazehito Seki x 徳久ウィリアム, more",2017-04-21,"Experimental,Grindcore,Improvised,Noise,Festival",Earthdom,http://www1.odn.ne.jp/shinjuku-dom/index.html/dom.html,"Lisbon Bldg B1F, 3-32-3 Okubo, Shinjuku-ku",,Okubo,"Okubo, Shin-Okubo",3 DAYS: ¥3600 / Single Adv: 2000 / Single Door: 2500,
15582,485,"BLACK HOLE SUCKS TOKYO: ..., Mei Zhiyong, Kazehito Seki, La Belles Biologie, FDF, Naoki Nomoto",2017-04-22,"Experimental,Improvised,Noise,Festival,WTF?",Pool,http://mdel.co.jp/pool/,"Silver building B2F, Sakuradai 1-7-7, Nerima-ku",http://mdel.co.jp/pool/map.html,Sakuradai,Sakuradai,3 DAYS: ¥3600 / Single Adv: 2000 / Single Door: 2500,
17274,3994,BLACK NERD FES,2017-11-11,Festival,,,,,,,,2500円 (+ drink)
14107,2482,"BLACK NERD FES: Maher Shalal Hash Baz, SUNDAYS&CYBELE, Noppo No Goonie, Oyasumi Hologram, SGGK, more",2016-10-15,"Festival,Mixed Genre",,,,,,,"￥2,000 (共に+1drink) 高校生以下, ￥1,000 (ドリンク込)",
13895,2264,BLUE NOTE JAZZ FESTIVAL,2016-09-17,"Festival,Jazz",Red Brick Warehouse,http://www.yokohama-akarenga.jp/,"1-1 Shinko, Naka-ku, Yokohama 231-0001",,Yokohama,"Bashamichi, Nihon-Oodori, Minatomirai, Sakuragicho, Kannai","Standing 10800, A 19000, S 26000",
10460,6323,"BOOKED!: moools, PAELLAS, skillkills, Wanna-Gonna, ハリネコ, 44°+, more",2014-11-01,Festival,,,,,,,3500,4000
